uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q92934	nci60_A498	11.0	nci60_A498	1.938493456	1.1163159627434185
Q92934	nci60_A549	14.0	nci60_A549	2.92033649	2.205576910486746
Q92934	nci60_BT549	20.0	nci60_BT549	3.874088647	2.5293278595760613
Q92934	nci60_Caki1	27.0	nci60_Caki1	4.767869011	2.3658069808842628
Q92934	nci60_DU145	23.0	nci60_DU145	3.244050406	3.435076516418685
Q92934	nci60_HCT116	9.0	nci60_HCT116	0.165646997	1.548996370010495
Q92934	nci60_HCT15	10.0	nci60_HCT15	1.05229317	0.9299835367557157
Q92934	nci60_HL60	8.0	nci60_HL60	1.727811879	1.0158328997315302
Q92934	nci60_HOP92	26.0	nci60_HOP92	6.079445435	1.4329081695414314
Q92934	nci60_HS578T	12.0	nci60_HS578T	3.28930793	1.09125847822003
Q92934	nci60_HT29	16.0	nci60_HT29	3.115412025	1.098738281164676
Q92934	nci60_K562	10.0	nci60_K562	1.223959641	0.9382311286817637
Q92934	nci60_KM12	10.0	nci60_KM12	1.883649363	1.1416296462777114
Q92934	nci60_LOXIMVI	25.0	nci60_LOXIMVI	5.300926844	1.8592596834185415
Q92934	nci60_MCF7	19.0	nci60_MCF7	4.27538689	1.4962867791721832
Q92934	nci60_MDAMB231	32.0	nci60_MDAMB231	0.407763603	2.056663600942408
Q92934	nci60_MDAMB435	21.0	nci60_MDAMB435	3.010628595	1.670411473993108
Q92934	nci60_Malme3M	6.0	nci60_Malme3M	2.515471152	1.1126623821154369
Q92934	nci60_NCIH226	34.0	nci60_NCIH226	4.638338856	2.399583212878895
Q92934	nci60_NCIH23	9.0	nci60_NCIH23	0.409770095	1.2278519006960815
Q92934	nci60_NCIH322T	23.0	nci60_NCIH322T	5.75706918	1.3762484931478784
Q92934	nci60_NCIH460	18.0	nci60_NCIH460	0.367410836	1.1827023345236647
Q92934	nci60_NCIH522	18.0	nci60_NCIH522	1.065000948	1.4010513546191143
Q92934	nci60_OVCAR3	17.0	nci60_OVCAR3	18.38369545	1.435343424478539
Q92934	nci60_OVCAR4	22.0	nci60_OVCAR4	3.233572063	1.5853177302606327
Q92934	nci60_OVCAR8	35.0	nci60_OVCAR8	6.321562041	3.0738425632236215
Q92934	nci60_PC3	34.0	nci60_PC3	3.553718883	2.26385305376024
Q92934	nci60_SF268	24.0	nci60_SF268	3.005723839	1.7487855105280303
Q92934	nci60_SF295	25.0	nci60_SF295	4.197802563	2.587872040563635
Q92934	nci60_SF539	11.0	nci60_SF539	0.949070344	1.047318441330194
Q92934	nci60_SKOV3	13.0	nci60_SKOV3	2.183731271	0.8626287070604248
Q92934	nci60_SNB75	14.0	nci60_SNB75	0.021625516	1.308362856719103
Q92934	nci60_SW620	11.0	nci60_SW620	2.171692324	1.177723531020598
Q92934	nci60_T47D	26.0	nci60_T47D	4.888258484	1.4393745952275254
Q92934	nci60_U251MG	28.0	nci60_U251MG	4.261787339	2.1169802426003175
Q92934	nci60_UACC257	14.0	nci60_UACC257	2.001586458	1.0106345857037695
Q92934	nci60_UACC62	13.0	nci60_UACC62	0.565830522	2.2918477923686678
Q92934	nci60_UO31	14.0	nci60_UO31	2.026556126	0.9322629393123019
