uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q13275	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	0.295368699	0.36564053270900265
Q13275	tissue29_adrenal.gland	2.0	tissue29_adrenal.gland	0.605797941	0.32572353082460537
Q13275	tissue29_appendix	4.0	tissue29_appendix	0.025703206	0.29287257427045965
Q13275	tissue29_duodenum	6.0	tissue29_duodenum	0.05258582	0.7766309266401232
Q13275	tissue29_endometrium	3.0	tissue29_endometrium	0.067066976	0.530511356689672
Q13275	tissue29_esophagus	25.0	tissue29_esophagus	1.401306013	0.473711785805081
Q13275	tissue29_fallopian.tube	11.0	tissue29_fallopian.tube	0.371117465	0.45584884961634264
Q13275	tissue29_heart	3.0	tissue29_heart	0.017295948	0.31005593866213266
Q13275	tissue29_kidney	6.0	tissue29_kidney	0.00894383	0.40741800094182623
Q13275	tissue29_liver	0.7	tissue29_liver	0.098229364	0.20597276009448828
Q13275	tissue29_lung	13.0	tissue29_lung	0.177246127	0.5115422121475535
Q13275	tissue29_lymph.node	1.0	tissue29_lymph.node	0.010219832	0.26424394496234793
Q13275	tissue29_ovary	0.6	tissue29_ovary	0.06811007	0.4704037578963738
Q13275	tissue29_placenta	19.0	tissue29_placenta	0.237468909	0.47891757716271655
Q13275	tissue29_prostate	11.0	tissue29_prostate	0.31169867	0.48757241487583136
Q13275	tissue29_rectum	3.0	tissue29_rectum	0.002748297	0.4543229242930411
Q13275	tissue29_small.intestine	7.0	tissue29_small.intestine	0.106416872	0.5334597759436333
Q13275	tissue29_smooth.muscle	5.0	tissue29_smooth.muscle	0.079521214	0.3767125581257431
Q13275	tissue29_stomach	7.0	tissue29_stomach	0.097141405	0.4129222684075411
Q13275	tissue29_thyroid	9.0	tissue29_thyroid	0.306870962	0.4395990308626123
Q13275	tissue29_tonsil	5.0	tissue29_tonsil	0.00486577	0.4520452567097597
P13569	tissue29_appendix	2.0	tissue29_appendix	0.040805947	-0.17279730798929982
P13569	tissue29_colon	29.0	tissue29_colon	0.005140399	0.15089021399891345
P13569	tissue29_duodenum	22.0	tissue29_duodenum	0.027751389	0.392632818664427
P13569	tissue29_gall.bladder	32.0	tissue29_gall.bladder	0.079209602	0.2551765073692833
P13569	tissue29_kidney	0.5	tissue29_kidney	0.032349791	0.6132797030490758
P13569	tissue29_liver	0.5	tissue29_liver	0.012809397	0.4047213864024046
P13569	tissue29_lung	5.0	tissue29_lung	0.024378593	-0.021670991033632236
P13569	tissue29_pancreas	36.0	tissue29_pancreas	4.223275117	0.5348304940677775
P13569	tissue29_rectum	29.0	tissue29_rectum	0.027374998	0.4071416988538832
P13569	tissue29_salivary.gland	6.0	tissue29_salivary.gland	0.811950151	0.10548158078406433
P13569	tissue29_small.intestine	8.0	tissue29_small.intestine	0.063431994	0.24132734724086724
P13569	tissue29_stomach	2.0	tissue29_stomach	0.021092347	-0.2248111916734108
P13569	tissue29_testis	0.6	tissue29_testis	0.035980124	0.5404309403135799
P13569	tissue29_urinary.bladder	0.8	tissue29_urinary.bladder	0.075365223	0.41246917084939105
Q92934	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	6.859201492	0.735117234944882
Q92934	tissue29_adrenal.gland	3.0	tissue29_adrenal.gland	3.211096199	1.6181528272254586
Q92934	tissue29_appendix	2.0	tissue29_appendix	4.029633123	1.7929004819738532
Q92934	tissue29_bone.marrow	3.0	tissue29_bone.marrow	2.935425909	1.522325590301639
Q92934	tissue29_colon	7.0	tissue29_colon	3.587436339	0.7186457554176067
Q92934	tissue29_duodenum	4.0	tissue29_duodenum	1.084149998	1.3053403525849792
Q92934	tissue29_endometrium	3.0	tissue29_endometrium	1.15312639	1.3309986648230296
Q92934	tissue29_esophagus	1.0	tissue29_esophagus	2.73150323	1.7684643624638818
Q92934	tissue29_fallopian.tube	5.0	tissue29_fallopian.tube	12.02414121	1.122553410728084
Q92934	tissue29_gall.bladder	2.0	tissue29_gall.bladder	4.291481744	1.2903030640111957
Q92934	tissue29_heart	3.0	tissue29_heart	3.715694092	1.8507997075544345
Q92934	tissue29_kidney	7.0	tissue29_kidney	4.712789537	0.7627021081446568
Q92934	tissue29_liver	2.0	tissue29_liver	4.82211816	1.1032542925771769
Q92934	tissue29_lung	3.0	tissue29_lung	4.365730768	1.3500719255287046
Q92934	tissue29_lymph.node	2.0	tissue29_lymph.node	1.725761226	1.4152068024531785
Q92934	tissue29_ovary	2.0	tissue29_ovary	0.654103966	1.6175180762294978
Q92934	tissue29_pancreas	2.0	tissue29_pancreas	2.263192289	1.4095241521289816
Q92934	tissue29_placenta	4.0	tissue29_placenta	2.653265978	0.9413608688305226
Q92934	tissue29_prostate	7.0	tissue29_prostate	0.592029075	0.8928343309204259
Q92934	tissue29_rectum	1.0	tissue29_rectum	1.487071369	1.4798465610001288
Q92934	tissue29_salivary.gland	7.0	tissue29_salivary.gland	4.003062376	1.031521575908628
Q92934	tissue29_small.intestine	5.0	tissue29_small.intestine	4.505698392	1.1987862734531354
Q92934	tissue29_smooth.muscle	2.0	tissue29_smooth.muscle	0.492482486	1.320733505181832
Q92934	tissue29_spleen	4.0	tissue29_spleen	0.115898053	0.9162611354636208
Q92934	tissue29_stomach	8.0	tissue29_stomach	3.539832859	0.9237841026481217
Q92934	tissue29_testis	5.0	tissue29_testis	2.588183983	1.3487743470611244
Q92934	tissue29_thyroid	2.0	tissue29_thyroid	6.412590711	1.5662920799842448
Q92934	tissue29_tonsil	1.0	tissue29_tonsil	3.681714744	1.6826750221332611
Q92934	tissue29_urinary.bladder	2.0	tissue29_urinary.bladder	0.71338101	1.264383609126929
P28838	tissue29_adipose.tissue	34.0	tissue29_adipose.tissue	248.1943372	137.95786017540655
P28838	tissue29_adrenal.gland	25.0	tissue29_adrenal.gland	115.4028229	140.45761635343902
P28838	tissue29_appendix	61.0	tissue29_appendix	99.91105443	186.14737357427327
P28838	tissue29_bone.marrow	19.0	tissue29_bone.marrow	49.09852191	43.95441795757189
P28838	tissue29_colon	28.0	tissue29_colon	44.63632069	105.64032538812978
P28838	tissue29_duodenum	34.0	tissue29_duodenum	167.1580705	190.98892844067672
P28838	tissue29_endometrium	20.0	tissue29_endometrium	75.09267409	74.51290939585134
P28838	tissue29_esophagus	20.0	tissue29_esophagus	135.5371053	92.88846940096761
P28838	tissue29_fallopian.tube	24.0	tissue29_fallopian.tube	115.5770437	154.18606330902784
P28838	tissue29_gall.bladder	39.0	tissue29_gall.bladder	133.6927689	163.39883540933386
P28838	tissue29_heart	19.0	tissue29_heart	47.62464852	82.11749292105293
P28838	tissue29_kidney	42.0	tissue29_kidney	125.9932685	193.79493383841972
P28838	tissue29_liver	41.0	tissue29_liver	153.1141726	243.8151754756927
P28838	tissue29_lung	48.0	tissue29_lung	209.6954322	205.68705647744576
P28838	tissue29_lymph.node	51.0	tissue29_lymph.node	163.6873362	151.27740753100113
P28838	tissue29_ovary	12.0	tissue29_ovary	173.7417954	45.41195502319862
P28838	tissue29_pancreas	4.0	tissue29_pancreas	67.90059354	34.810054720284654
P28838	tissue29_placenta	34.0	tissue29_placenta	45.61653381	148.63431933704408
P28838	tissue29_prostate	19.0	tissue29_prostate	22.54922444	92.4196534620961
P28838	tissue29_rectum	28.0	tissue29_rectum	60.98099348	133.5429665784731
P28838	tissue29_salivary.gland	15.0	tissue29_salivary.gland	67.78787919	75.42518542481062
P28838	tissue29_small.intestine	28.0	tissue29_small.intestine	108.4534522	179.75665170075715
P28838	tissue29_smooth.muscle	28.0	tissue29_smooth.muscle	59.26224311	139.57761740099357
P28838	tissue29_spleen	45.0	tissue29_spleen	171.7993634	206.80206135921625
P28838	tissue29_stomach	23.0	tissue29_stomach	54.38806091	97.13122546173821
P28838	tissue29_testis	27.0	tissue29_testis	160.519193	145.33143856574924
P28838	tissue29_thyroid	22.0	tissue29_thyroid	70.87519768	89.41949148606042
P28838	tissue29_tonsil	47.0	tissue29_tonsil	131.1550934	190.48534665617294
P28838	tissue29_urinary.bladder	35.0	tissue29_urinary.bladder	98.7339257	142.74541796864364
Q9Y5W9	tissue29_adipose.tissue	7.0	tissue29_adipose.tissue	0.522258096	0.2092246203888093
Q9Y5W9	tissue29_adrenal.gland	6.0	tissue29_adrenal.gland	0.648959206	0.22309412265717032
Q9Y5W9	tissue29_appendix	10.0	tissue29_appendix	0.274779763	0.1444252567019244
Q9Y5W9	tissue29_bone.marrow	8.0	tissue29_bone.marrow	2.770057241	0.15233266115392197
Q9Y5W9	tissue29_colon	7.0	tissue29_colon	0.081641994	0.22718708148349065
Q9Y5W9	tissue29_duodenum	4.0	tissue29_duodenum	0.520383736	0.4454414254239938
Q9Y5W9	tissue29_endometrium	5.0	tissue29_endometrium	0.137805777	0.2412286315089811
Q9Y5W9	tissue29_esophagus	7.0	tissue29_esophagus	0.544619721	0.1662189055241743
Q9Y5W9	tissue29_fallopian.tube	6.0	tissue29_fallopian.tube	0.061756699	0.30197181385899907
Q9Y5W9	tissue29_gall.bladder	6.0	tissue29_gall.bladder	0.435795832	0.11175268336740563
Q9Y5W9	tissue29_kidney	6.0	tissue29_kidney	0.141899401	0.21440721309203004
Q9Y5W9	tissue29_liver	3.0	tissue29_liver	1.283668285	0.3000755560688835
Q9Y5W9	tissue29_lung	7.0	tissue29_lung	0.507761536	0.1313012473880022
Q9Y5W9	tissue29_lymph.node	11.0	tissue29_lymph.node	0.87620711	0.048971221828586486
Q9Y5W9	tissue29_ovary	4.0	tissue29_ovary	1.187480943	0.2588562853905847
Q9Y5W9	tissue29_placenta	6.0	tissue29_placenta	0.252860961	0.18833491030397487
Q9Y5W9	tissue29_prostate	5.0	tissue29_prostate	0.044324698	0.1389277917036913
Q9Y5W9	tissue29_rectum	7.0	tissue29_rectum	0.664831665	0.22841142524867064
Q9Y5W9	tissue29_salivary.gland	4.0	tissue29_salivary.gland	0.154085456	0.21810277779507348
Q9Y5W9	tissue29_small.intestine	5.0	tissue29_small.intestine	2.221747003	0.22499926071966536
Q9Y5W9	tissue29_smooth.muscle	9.0	tissue29_smooth.muscle	0.249317598	0.1423815785876963
Q9Y5W9	tissue29_spleen	11.0	tissue29_spleen	0.283549065	0.1410734781168379
Q9Y5W9	tissue29_stomach	5.0	tissue29_stomach	0.677440016	0.16707978245531896
Q9Y5W9	tissue29_testis	7.0	tissue29_testis	1.424536912	0.08784990467050768
Q9Y5W9	tissue29_thyroid	11.0	tissue29_thyroid	0.939084891	0.1714520800992796
