uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q13275	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	0.295368699	0.6398760845972253
Q13275	tissue29_adrenal.gland	2.0	tissue29_adrenal.gland	0.605797941	0.1519569673447283
Q13275	tissue29_appendix	4.0	tissue29_appendix	0.025703206	0.13040664273550195
Q13275	tissue29_duodenum	6.0	tissue29_duodenum	0.05258582	0.08035771501611366
Q13275	tissue29_endometrium	3.0	tissue29_endometrium	0.067066976	0.09035285053076358
Q13275	tissue29_esophagus	25.0	tissue29_esophagus	1.401306013	0.3026959012111641
Q13275	tissue29_fallopian.tube	11.0	tissue29_fallopian.tube	0.371117465	0.18852754886342216
Q13275	tissue29_heart	3.0	tissue29_heart	0.017295948	0.08345345653329361
Q13275	tissue29_kidney	6.0	tissue29_kidney	0.00894383	0.05277246368323807
Q13275	tissue29_liver	0.7	tissue29_liver	0.098229364	0.15499858206699324
Q13275	tissue29_lung	13.0	tissue29_lung	0.177246127	0.3024763347745776
Q13275	tissue29_lymph.node	1.0	tissue29_lymph.node	0.010219832	0.15486214274502075
Q13275	tissue29_ovary	0.6	tissue29_ovary	0.06811007	0.16820189185467282
Q13275	tissue29_placenta	19.0	tissue29_placenta	0.237468909	0.37867268770633733
Q13275	tissue29_prostate	11.0	tissue29_prostate	0.31169867	0.22872152865680784
Q13275	tissue29_rectum	3.0	tissue29_rectum	0.002748297	0.06800120102158491
Q13275	tissue29_small.intestine	7.0	tissue29_small.intestine	0.106416872	0.2091624569507946
Q13275	tissue29_smooth.muscle	5.0	tissue29_smooth.muscle	0.079521214	0.25827359616474
Q13275	tissue29_stomach	7.0	tissue29_stomach	0.097141405	0.11665274335654363
Q13275	tissue29_thyroid	9.0	tissue29_thyroid	0.306870962	0.49455877700689554
Q13275	tissue29_tonsil	5.0	tissue29_tonsil	0.00486577	0.28111965680068196
P13569	tissue29_appendix	2.0	tissue29_appendix	0.040805947	-0.24267139821294614
P13569	tissue29_colon	29.0	tissue29_colon	0.005140399	-0.15658764742341524
P13569	tissue29_duodenum	22.0	tissue29_duodenum	0.027751389	-0.09870666909365022
P13569	tissue29_gall.bladder	32.0	tissue29_gall.bladder	0.079209602	-0.2711025221813106
P13569	tissue29_kidney	0.5	tissue29_kidney	0.032349791	-0.23434843854488452
P13569	tissue29_liver	0.5	tissue29_liver	0.012809397	-0.23599423208999837
P13569	tissue29_lung	5.0	tissue29_lung	0.024378593	-0.20805455912802262
P13569	tissue29_pancreas	36.0	tissue29_pancreas	4.223275117	-0.13922705202538277
P13569	tissue29_rectum	29.0	tissue29_rectum	0.027374998	-0.1592124416335089
P13569	tissue29_salivary.gland	6.0	tissue29_salivary.gland	0.811950151	-0.27512487915778105
P13569	tissue29_small.intestine	8.0	tissue29_small.intestine	0.063431994	-0.28532703192788333
P13569	tissue29_stomach	2.0	tissue29_stomach	0.021092347	-0.2605665115466438
P13569	tissue29_testis	0.6	tissue29_testis	0.035980124	-0.21216942869905908
P13569	tissue29_urinary.bladder	0.8	tissue29_urinary.bladder	0.075365223	-0.23898260616187872
Q92934	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	6.859201492	1.4027717693772308
Q92934	tissue29_adrenal.gland	3.0	tissue29_adrenal.gland	3.211096199	0.6495386986137712
Q92934	tissue29_appendix	2.0	tissue29_appendix	4.029633123	0.49786650722234116
Q92934	tissue29_bone.marrow	3.0	tissue29_bone.marrow	2.935425909	0.9197428057225265
Q92934	tissue29_colon	7.0	tissue29_colon	3.587436339	0.9177395730276454
Q92934	tissue29_duodenum	4.0	tissue29_duodenum	1.084149998	0.4729454926718115
Q92934	tissue29_endometrium	3.0	tissue29_endometrium	1.15312639	0.6295327057665014
Q92934	tissue29_esophagus	1.0	tissue29_esophagus	2.73150323	0.4775592754053686
Q92934	tissue29_fallopian.tube	5.0	tissue29_fallopian.tube	12.02414121	0.8485666947319626
Q92934	tissue29_gall.bladder	2.0	tissue29_gall.bladder	4.291481744	0.5374715000872399
Q92934	tissue29_heart	3.0	tissue29_heart	3.715694092	0.6284739692176748
Q92934	tissue29_kidney	7.0	tissue29_kidney	4.712789537	0.9106477885192219
Q92934	tissue29_liver	2.0	tissue29_liver	4.82211816	0.4830286188773565
Q92934	tissue29_lung	3.0	tissue29_lung	4.365730768	0.5162746339387041
Q92934	tissue29_lymph.node	2.0	tissue29_lymph.node	1.725761226	0.40231058631791417
Q92934	tissue29_ovary	2.0	tissue29_ovary	0.654103966	0.5078996552400734
Q92934	tissue29_pancreas	2.0	tissue29_pancreas	2.263192289	0.6016017907284776
Q92934	tissue29_placenta	4.0	tissue29_placenta	2.653265978	0.6691874804466227
Q92934	tissue29_prostate	7.0	tissue29_prostate	0.592029075	0.9136830278755914
Q92934	tissue29_rectum	1.0	tissue29_rectum	1.487071369	0.5069725809640826
Q92934	tissue29_salivary.gland	7.0	tissue29_salivary.gland	4.003062376	0.7320768409861711
Q92934	tissue29_small.intestine	5.0	tissue29_small.intestine	4.505698392	1.0629384642362933
Q92934	tissue29_smooth.muscle	2.0	tissue29_smooth.muscle	0.492482486	0.5217196607310619
Q92934	tissue29_spleen	4.0	tissue29_spleen	0.115898053	0.7623571076860638
Q92934	tissue29_stomach	8.0	tissue29_stomach	3.539832859	0.8299292643682468
Q92934	tissue29_testis	5.0	tissue29_testis	2.588183983	1.103600450304385
Q92934	tissue29_thyroid	2.0	tissue29_thyroid	6.412590711	0.6403255741648803
Q92934	tissue29_tonsil	1.0	tissue29_tonsil	3.681714744	0.6351150457336954
Q92934	tissue29_urinary.bladder	2.0	tissue29_urinary.bladder	0.71338101	0.6089455448812069
P28838	tissue29_adipose.tissue	34.0	tissue29_adipose.tissue	248.1943372	16.599497153472864
P28838	tissue29_adrenal.gland	25.0	tissue29_adrenal.gland	115.4028229	7.870444898214625
P28838	tissue29_appendix	61.0	tissue29_appendix	99.91105443	14.242669247619487
P28838	tissue29_bone.marrow	19.0	tissue29_bone.marrow	49.09852191	3.327863244259225
P28838	tissue29_colon	28.0	tissue29_colon	44.63632069	4.480650784750303
P28838	tissue29_duodenum	34.0	tissue29_duodenum	167.1580705	7.0471546181903
P28838	tissue29_endometrium	20.0	tissue29_endometrium	75.09267409	4.21854288758422
P28838	tissue29_esophagus	20.0	tissue29_esophagus	135.5371053	3.3836121966046564
P28838	tissue29_fallopian.tube	24.0	tissue29_fallopian.tube	115.5770437	5.582913160613123
P28838	tissue29_gall.bladder	39.0	tissue29_gall.bladder	133.6927689	11.337425630090957
P28838	tissue29_heart	19.0	tissue29_heart	47.62464852	3.824141141246592
P28838	tissue29_kidney	42.0	tissue29_kidney	125.9932685	7.96499817733018
P28838	tissue29_liver	41.0	tissue29_liver	153.1141726	5.968595933266891
P28838	tissue29_lung	48.0	tissue29_lung	209.6954322	7.797682249419113
P28838	tissue29_lymph.node	51.0	tissue29_lymph.node	163.6873362	7.628554384617406
P28838	tissue29_ovary	12.0	tissue29_ovary	173.7417954	1.7449955484812874
P28838	tissue29_pancreas	4.0	tissue29_pancreas	67.90059354	2.5986664795523393
P28838	tissue29_placenta	34.0	tissue29_placenta	45.61653381	4.269656873121428
P28838	tissue29_prostate	19.0	tissue29_prostate	22.54922444	4.37254749468105
P28838	tissue29_rectum	28.0	tissue29_rectum	60.98099348	4.476137380456838
P28838	tissue29_salivary.gland	15.0	tissue29_salivary.gland	67.78787919	2.271988366907499
P28838	tissue29_small.intestine	28.0	tissue29_small.intestine	108.4534522	3.7778884363623835
P28838	tissue29_smooth.muscle	28.0	tissue29_smooth.muscle	59.26224311	2.44000456475288
P28838	tissue29_spleen	45.0	tissue29_spleen	171.7993634	5.125699577553089
P28838	tissue29_stomach	23.0	tissue29_stomach	54.38806091	2.2908798374382613
P28838	tissue29_testis	27.0	tissue29_testis	160.519193	4.885499968373123
P28838	tissue29_thyroid	22.0	tissue29_thyroid	70.87519768	5.755605568635981
P28838	tissue29_tonsil	47.0	tissue29_tonsil	131.1550934	8.56830421496349
P28838	tissue29_urinary.bladder	35.0	tissue29_urinary.bladder	98.7339257	10.36133399540016
