uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q92934	nci60_A498	11.0	nci60_A498	1.938493456	2.5860449110523125
Q92934	nci60_A549	14.0	nci60_A549	2.92033649	2.8511713431187693
Q92934	nci60_BT549	20.0	nci60_BT549	3.874088647	3.5775953834332714
Q92934	nci60_Caki1	27.0	nci60_Caki1	4.767869011	4.255295278202642
Q92934	nci60_DU145	23.0	nci60_DU145	3.244050406	3.7211858528331936
Q92934	nci60_HCT116	9.0	nci60_HCT116	0.165646997	2.512615819679314
Q92934	nci60_HCT15	10.0	nci60_HCT15	1.05229317	2.5445797382565987
Q92934	nci60_HL60	8.0	nci60_HL60	1.727811879	2.529806681276585
Q92934	nci60_HOP92	26.0	nci60_HOP92	6.079445435	4.104747864893463
Q92934	nci60_HS578T	12.0	nci60_HS578T	3.28930793	2.4173397749771572
Q92934	nci60_HT29	16.0	nci60_HT29	3.115412025	2.958235497840546
Q92934	nci60_K562	10.0	nci60_K562	1.223959641	2.61765435860288
Q92934	nci60_KM12	10.0	nci60_KM12	1.883649363	2.6217527669164165
Q92934	nci60_LOXIMVI	25.0	nci60_LOXIMVI	5.300926844	4.006399224208279
Q92934	nci60_MCF7	19.0	nci60_MCF7	4.27538689	3.2907520716080008
Q92934	nci60_MDAMB231	32.0	nci60_MDAMB231	0.407763603	4.652122322623038
Q92934	nci60_MDAMB435	21.0	nci60_MDAMB435	3.010628595	3.629471932562109
Q92934	nci60_Malme3M	6.0	nci60_Malme3M	2.515471152	2.3416167737877585
Q92934	nci60_NCIH226	34.0	nci60_NCIH226	4.638338856	4.801985395864561
Q92934	nci60_NCIH23	9.0	nci60_NCIH23	0.409770095	2.6000163492753043
Q92934	nci60_NCIH322T	23.0	nci60_NCIH322T	5.75706918	3.817447229497583
Q92934	nci60_NCIH460	18.0	nci60_NCIH460	0.367410836	3.133470345526818
Q92934	nci60_NCIH522	18.0	nci60_NCIH522	1.065000948	3.1421330517696004
Q92934	nci60_OVCAR3	17.0	nci60_OVCAR3	18.38369545	3.0282493831391726
Q92934	nci60_OVCAR4	22.0	nci60_OVCAR4	3.233572063	3.772791808166586
Q92934	nci60_OVCAR8	35.0	nci60_OVCAR8	6.321562041	4.995050457584016
Q92934	nci60_PC3	34.0	nci60_PC3	3.553718883	4.818946586528739
Q92934	nci60_SF268	24.0	nci60_SF268	3.005723839	3.848996180311331
Q92934	nci60_SF295	25.0	nci60_SF295	4.197802563	3.952850687996081
Q92934	nci60_SF539	11.0	nci60_SF539	0.949070344	2.4940576262443233
Q92934	nci60_SKOV3	13.0	nci60_SKOV3	2.183731271	2.635019970615702
Q92934	nci60_SNB75	14.0	nci60_SNB75	0.021625516	2.7855522388286063
Q92934	nci60_SW620	11.0	nci60_SW620	2.171692324	2.504069354602596
Q92934	nci60_T47D	26.0	nci60_T47D	4.888258484	4.104814804002643
Q92934	nci60_U251MG	28.0	nci60_U251MG	4.261787339	4.437530701896251
Q92934	nci60_UACC257	14.0	nci60_UACC257	2.001586458	2.7879591913042665
Q92934	nci60_UACC62	13.0	nci60_UACC62	0.565830522	2.6474786569490285
Q92934	nci60_UO31	14.0	nci60_UO31	2.026556126	2.791399833325356
P28838	nci60_A498	16.0	nci60_A498	47.86573968	41.0279508841649
P28838	nci60_A549	13.0	nci60_A549	26.24713451	32.451337860907735
P28838	nci60_ACHN	16.0	nci60_ACHN	34.04101522	40.57718996283313
P28838	nci60_BT549	23.0	nci60_BT549	59.13686966	53.90061964878708
P28838	nci60_Caki1	32.0	nci60_Caki1	105.3403428	72.49976573487545
P28838	nci60_DU145	47.0	nci60_DU145	108.5335621	82.84859863939928
P28838	nci60_EKVX	2.0	nci60_EKVX	9.698932641	8.335454697611816
P28838	nci60_HCT116	28.0	nci60_HCT116	109.6901929	64.39149900097406
P28838	nci60_HCT15	30.0	nci60_HCT15	103.951405	64.95083437014162
P28838	nci60_HL60	21.0	nci60_HL60	83.62141312	49.238212476966396
P28838	nci60_HOP62	25.0	nci60_HOP62	82.62329521	60.36697560137992
P28838	nci60_HOP92	20.0	nci60_HOP92	61.18460542	48.08566737016695
P28838	nci60_HS578T	8.0	nci60_HS578T	32.23227486	26.127438120388152
P28838	nci60_HT29	28.0	nci60_HT29	85.78173532	69.65879355938289
P28838	nci60_IGROV1	26.0	nci60_IGROV1	169.1697266	62.09423979499006
P28838	nci60_K562	18.0	nci60_K562	69.42883193	41.15882824811018
P28838	nci60_KM12	18.0	nci60_KM12	66.39122718	41.625467217905054
P28838	nci60_LOXIMVI	13.0	nci60_LOXIMVI	27.32885622	32.56689347363774
P28838	nci60_MCF7	20.0	nci60_MCF7	70.71410102	49.73463436213872
P28838	nci60_MDAMB231	29.0	nci60_MDAMB231	80.63441653	70.65281674951163
P28838	nci60_MDAMB435	28.0	nci60_MDAMB435	62.62192196	67.32629344968674
P28838	nci60_Malme3M	35.0	nci60_Malme3M	89.53766393	77.43209055611534
P28838	nci60_NCIH226	19.0	nci60_NCIH226	44.90126039	43.31522031553221
P28838	nci60_NCIH23	23.0	nci60_NCIH23	132.8459932	52.038374130373654
P28838	nci60_NCIH322T	51.0	nci60_NCIH322T	405.0430242	86.5765439406288
P28838	nci60_NCIH460	35.0	nci60_NCIH460	54.86371221	77.09495163807566
P28838	nci60_NCIH522	13.0	nci60_NCIH522	34.00356072	33.03802282269524
P28838	nci60_OVCAR3	22.0	nci60_OVCAR3	54.89314075	55.011848014878275
P28838	nci60_OVCAR4	18.0	nci60_OVCAR4	31.32333434	46.640510591860625
P28838	nci60_OVCAR8	14.0	nci60_OVCAR8	51.1436775	36.47006354924048
P28838	nci60_PC3	13.0	nci60_PC3	80.52316774	34.41152541970368
P28838	nci60_RPMI8226	34.0	nci60_RPMI8226	173.8428447	77.52077708353852
P28838	nci60_SF268	20.0	nci60_SF268	78.33475465	47.159544752605086
P28838	nci60_SF295	24.0	nci60_SF295	66.34686143	58.83409341884692
P28838	nci60_SF539	92.0	nci60_SF539	74.89273045	161.43534667748042
P28838	nci60_SKMEL28	17.0	nci60_SKMEL28	44.17714	44.905396006521485
P28838	nci60_SKMEL5	21.0	nci60_SKMEL5	75.1673968	52.186848098826495
P28838	nci60_SKOV3	23.0	nci60_SKOV3	58.60024473	55.81609892847432
P28838	nci60_SNB75	41.0	nci60_SNB75	37.83974897	81.15333628326606
P28838	nci60_SW620	25.0	nci60_SW620	74.52353607	61.546723214183196
P28838	nci60_T47D	12.0	nci60_T47D	30.66542817	30.80027827187671
