uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q92934	nci60_A498	11.0	nci60_A498	1.938493456	2.2877581911880656
Q92934	nci60_A549	14.0	nci60_A549	2.92033649	2.4122647575228418
Q92934	nci60_BT549	20.0	nci60_BT549	3.874088647	2.2666899126375037
Q92934	nci60_Caki1	27.0	nci60_Caki1	4.767869011	2.363300995106269
Q92934	nci60_DU145	23.0	nci60_DU145	3.244050406	2.5181181341256935
Q92934	nci60_HCT116	9.0	nci60_HCT116	0.165646997	2.1610546703049414
Q92934	nci60_HCT15	10.0	nci60_HCT15	1.05229317	2.2293239160186418
Q92934	nci60_HL60	8.0	nci60_HL60	1.727811879	3.1056311232358276
Q92934	nci60_HOP92	26.0	nci60_HOP92	6.079445435	3.248627149947862
Q92934	nci60_HS578T	12.0	nci60_HS578T	3.28930793	3.1924427841411918
Q92934	nci60_HT29	16.0	nci60_HT29	3.115412025	2.680869439130788
Q92934	nci60_K562	10.0	nci60_K562	1.223959641	2.3636774957602706
Q92934	nci60_KM12	10.0	nci60_KM12	1.883649363	2.27326252283038
Q92934	nci60_LOXIMVI	25.0	nci60_LOXIMVI	5.300926844	2.7012497051910325
Q92934	nci60_MCF7	19.0	nci60_MCF7	4.27538689	2.4410762720064
Q92934	nci60_MDAMB231	32.0	nci60_MDAMB231	0.407763603	2.710765426166659
Q92934	nci60_MDAMB435	21.0	nci60_MDAMB435	3.010628595	2.5924617107843915
Q92934	nci60_Malme3M	6.0	nci60_Malme3M	2.515471152	2.2142435704225805
Q92934	nci60_NCIH226	34.0	nci60_NCIH226	4.638338856	2.6200171299550896
Q92934	nci60_NCIH23	9.0	nci60_NCIH23	0.409770095	2.3628996813919323
Q92934	nci60_NCIH322T	23.0	nci60_NCIH322T	5.75706918	2.4934245669271777
Q92934	nci60_NCIH460	18.0	nci60_NCIH460	0.367410836	2.453134501133074
Q92934	nci60_NCIH522	18.0	nci60_NCIH522	1.065000948	2.5305965844926224
Q92934	nci60_OVCAR3	17.0	nci60_OVCAR3	18.38369545	2.473998146291551
Q92934	nci60_OVCAR4	22.0	nci60_OVCAR4	3.233572063	2.4924260657632713
Q92934	nci60_OVCAR8	35.0	nci60_OVCAR8	6.321562041	2.7832234842217924
Q92934	nci60_PC3	34.0	nci60_PC3	3.553718883	2.6591808232899123
Q92934	nci60_SF268	24.0	nci60_SF268	3.005723839	2.5312018616816823
Q92934	nci60_SF295	25.0	nci60_SF295	4.197802563	2.7296133340026976
Q92934	nci60_SF539	11.0	nci60_SF539	0.949070344	2.358423131170338
Q92934	nci60_SKOV3	13.0	nci60_SKOV3	2.183731271	2.4713292575099826
Q92934	nci60_SNB75	14.0	nci60_SNB75	0.021625516	2.4175495814204577
Q92934	nci60_SW620	11.0	nci60_SW620	2.171692324	2.3264057807042184
Q92934	nci60_T47D	26.0	nci60_T47D	4.888258484	2.718501468054196
Q92934	nci60_U251MG	28.0	nci60_U251MG	4.261787339	2.7036904747270487
Q92934	nci60_UACC257	14.0	nci60_UACC257	2.001586458	2.476499580585714
Q92934	nci60_UACC62	13.0	nci60_UACC62	0.565830522	2.3485608765378605
Q92934	nci60_UO31	14.0	nci60_UO31	2.026556126	2.401223703473798
P28838	nci60_A498	16.0	nci60_A498	47.86573968	150.59400113861844
P28838	nci60_A549	13.0	nci60_A549	26.24713451	117.50394045042815
P28838	nci60_ACHN	16.0	nci60_ACHN	34.04101522	130.7384929858849
P28838	nci60_BT549	23.0	nci60_BT549	59.13686966	212.54309718265776
P28838	nci60_Caki1	32.0	nci60_Caki1	105.3403428	307.21902249266947
P28838	nci60_DU145	47.0	nci60_DU145	108.5335621	469.57886560888346
P28838	nci60_EKVX	2.0	nci60_EKVX	9.698932641	17.826735089033214
P28838	nci60_HCT116	28.0	nci60_HCT116	109.6901929	221.05434594623864
P28838	nci60_HCT15	30.0	nci60_HCT15	103.951405	268.74767170894086
P28838	nci60_HL60	21.0	nci60_HL60	83.62141312	182.08297764510402
P28838	nci60_HOP62	25.0	nci60_HOP62	82.62329521	231.73470428144836
P28838	nci60_HOP92	20.0	nci60_HOP92	61.18460542	181.21048415360647
P28838	nci60_HS578T	8.0	nci60_HS578T	32.23227486	69.23336094563943
P28838	nci60_HT29	28.0	nci60_HT29	85.78173532	254.43069158314708
P28838	nci60_IGROV1	26.0	nci60_IGROV1	169.1697266	233.63825924259964
