uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q13275	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	0.295368699	0.47854034175535465
Q13275	tissue29_adrenal.gland	2.0	tissue29_adrenal.gland	0.605797941	0.14391794926949486
Q13275	tissue29_appendix	4.0	tissue29_appendix	0.025703206	0.23044854652765112
Q13275	tissue29_duodenum	6.0	tissue29_duodenum	0.05258582	0.3258639555219698
Q13275	tissue29_endometrium	3.0	tissue29_endometrium	0.067066976	0.34785875679256484
Q13275	tissue29_esophagus	25.0	tissue29_esophagus	1.401306013	0.9181498618124218
Q13275	tissue29_fallopian.tube	11.0	tissue29_fallopian.tube	0.371117465	0.41161380979143614
Q13275	tissue29_heart	3.0	tissue29_heart	0.017295948	0.2945262085606499
Q13275	tissue29_kidney	6.0	tissue29_kidney	0.00894383	0.3594600518708315
Q13275	tissue29_liver	0.7	tissue29_liver	0.098229364	0.4263999738796078
Q13275	tissue29_lung	13.0	tissue29_lung	0.177246127	0.5376089210719988
Q13275	tissue29_lymph.node	1.0	tissue29_lymph.node	0.010219832	0.34876077940899486
Q13275	tissue29_ovary	0.6	tissue29_ovary	0.06811007	0.34960769783350965
Q13275	tissue29_placenta	19.0	tissue29_placenta	0.237468909	0.6275711304263432
Q13275	tissue29_prostate	11.0	tissue29_prostate	0.31169867	0.46215794598644644
Q13275	tissue29_rectum	3.0	tissue29_rectum	0.002748297	0.2586336051206415
Q13275	tissue29_small.intestine	7.0	tissue29_small.intestine	0.106416872	0.3564763172007035
Q13275	tissue29_smooth.muscle	5.0	tissue29_smooth.muscle	0.079521214	0.2430647479277741
Q13275	tissue29_stomach	7.0	tissue29_stomach	0.097141405	0.2669125092088467
Q13275	tissue29_thyroid	9.0	tissue29_thyroid	0.306870962	0.298214559117415
Q13275	tissue29_tonsil	5.0	tissue29_tonsil	0.00486577	0.2442168260633366
P13569	tissue29_appendix	2.0	tissue29_appendix	0.040805947	0.41647414458892307
P13569	tissue29_colon	29.0	tissue29_colon	0.005140399	0.9358209902074048
P13569	tissue29_duodenum	22.0	tissue29_duodenum	0.027751389	0.7875837483394883
P13569	tissue29_gall.bladder	32.0	tissue29_gall.bladder	0.079209602	1.2237018240899502
P13569	tissue29_kidney	0.5	tissue29_kidney	0.032349791	0.6202001117033069
P13569	tissue29_liver	0.5	tissue29_liver	0.012809397	0.5658523832583238
P13569	tissue29_lung	5.0	tissue29_lung	0.024378593	0.4125531104974731
P13569	tissue29_pancreas	36.0	tissue29_pancreas	4.223275117	1.2255897717070914
P13569	tissue29_rectum	29.0	tissue29_rectum	0.027374998	1.0724284464799685
P13569	tissue29_salivary.gland	6.0	tissue29_salivary.gland	0.811950151	0.4161108111972911
P13569	tissue29_small.intestine	8.0	tissue29_small.intestine	0.063431994	0.5028334135938277
P13569	tissue29_stomach	2.0	tissue29_stomach	0.021092347	0.4544353149618898
P13569	tissue29_testis	0.6	tissue29_testis	0.035980124	0.554138767646744
P13569	tissue29_urinary.bladder	0.8	tissue29_urinary.bladder	0.075365223	0.5461071141500577
Q92934	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	6.859201492	1.0452426710832294
Q92934	tissue29_adrenal.gland	3.0	tissue29_adrenal.gland	3.211096199	0.34025382524442405
Q92934	tissue29_appendix	2.0	tissue29_appendix	4.029633123	0.4345775576124453
Q92934	tissue29_bone.marrow	3.0	tissue29_bone.marrow	2.935425909	0.5208130060383369
Q92934	tissue29_colon	7.0	tissue29_colon	3.587436339	0.56064673249851
Q92934	tissue29_duodenum	4.0	tissue29_duodenum	1.084149998	0.5081374008230344
Q92934	tissue29_endometrium	3.0	tissue29_endometrium	1.15312639	0.6958112293116139
Q92934	tissue29_esophagus	1.0	tissue29_esophagus	2.73150323	0.9773414059444494
Q92934	tissue29_fallopian.tube	5.0	tissue29_fallopian.tube	12.02414121	0.6759072828951
Q92934	tissue29_gall.bladder	2.0	tissue29_gall.bladder	4.291481744	0.7658985656720356
Q92934	tissue29_heart	3.0	tissue29_heart	3.715694092	0.7389508348164808
Q92934	tissue29_kidney	7.0	tissue29_kidney	4.712789537	0.7639056207994508
Q92934	tissue29_liver	2.0	tissue29_liver	4.82211816	0.6146573353556481
Q92934	tissue29_lung	3.0	tissue29_lung	4.365730768	0.7153343222533748
Q92934	tissue29_lymph.node	2.0	tissue29_lymph.node	1.725761226	0.6615841132192342
Q92934	tissue29_ovary	2.0	tissue29_ovary	0.654103966	0.6852685246699961
Q92934	tissue29_pancreas	2.0	tissue29_pancreas	2.263192289	0.7068753059155204
Q92934	tissue29_placenta	4.0	tissue29_placenta	2.653265978	0.5714207926324189
Q92934	tissue29_prostate	7.0	tissue29_prostate	0.592029075	0.7213661321597531
Q92934	tissue29_rectum	1.0	tissue29_rectum	1.487071369	0.91036480902228
Q92934	tissue29_salivary.gland	7.0	tissue29_salivary.gland	4.003062376	0.5586723855454054
Q92934	tissue29_small.intestine	5.0	tissue29_small.intestine	4.505698392	0.6307527950567238
Q92934	tissue29_smooth.muscle	2.0	tissue29_smooth.muscle	0.492482486	0.4579903032571959
Q92934	tissue29_spleen	4.0	tissue29_spleen	0.115898053	0.5468353113882134
Q92934	tissue29_stomach	8.0	tissue29_stomach	3.539832859	0.5946276074009178
Q92934	tissue29_testis	5.0	tissue29_testis	2.588183983	0.5219648921559576
Q92934	tissue29_thyroid	2.0	tissue29_thyroid	6.412590711	0.5666747613865908
Q92934	tissue29_tonsil	1.0	tissue29_tonsil	3.681714744	0.9062676195988346
Q92934	tissue29_urinary.bladder	2.0	tissue29_urinary.bladder	0.71338101	0.5651503101649544
P28838	tissue29_adipose.tissue	34.0	tissue29_adipose.tissue	248.1943372	82.30576683507014
P28838	tissue29_adrenal.gland	25.0	tissue29_adrenal.gland	115.4028229	12.718579048515359
P28838	tissue29_appendix	61.0	tissue29_appendix	99.91105443	53.814271882347526
P28838	tissue29_bone.marrow	19.0	tissue29_bone.marrow	49.09852191	20.483630214610734
P28838	tissue29_colon	28.0	tissue29_colon	44.63632069	18.289968420399607
P28838	tissue29_duodenum	34.0	tissue29_duodenum	167.1580705	46.016245582247045
P28838	tissue29_endometrium	20.0	tissue29_endometrium	75.09267409	28.466304067207957
P28838	tissue29_esophagus	20.0	tissue29_esophagus	135.5371053	23.52953100761874
P28838	tissue29_fallopian.tube	24.0	tissue29_fallopian.tube	115.5770437	35.40292310357883
P28838	tissue29_gall.bladder	39.0	tissue29_gall.bladder	133.6927689	60.73599248278158
P28838	tissue29_heart	19.0	tissue29_heart	47.62464852	21.144697467961628
P28838	tissue29_kidney	42.0	tissue29_kidney	125.9932685	63.2507960228435
P28838	tissue29_liver	41.0	tissue29_liver	153.1141726	63.05788822378673
P28838	tissue29_lung	48.0	tissue29_lung	209.6954322	74.3919496305624
P28838	tissue29_lymph.node	51.0	tissue29_lymph.node	163.6873362	75.27177147106481
P28838	tissue29_ovary	12.0	tissue29_ovary	173.7417954	16.691225983142495
P28838	tissue29_pancreas	4.0	tissue29_pancreas	67.90059354	8.569627438118166
P28838	tissue29_placenta	34.0	tissue29_placenta	45.61653381	47.12848412882632
P28838	tissue29_prostate	19.0	tissue29_prostate	22.54922444	23.941443060516036
P28838	tissue29_rectum	28.0	tissue29_rectum	60.98099348	35.174522199217
P28838	tissue29_salivary.gland	15.0	tissue29_salivary.gland	67.78787919	18.928883178388066
P28838	tissue29_small.intestine	28.0	tissue29_small.intestine	108.4534522	43.5847508549299
P28838	tissue29_smooth.muscle	28.0	tissue29_smooth.muscle	59.26224311	27.77025664889623
P28838	tissue29_spleen	45.0	tissue29_spleen	171.7993634	59.8965568738402
P28838	tissue29_stomach	23.0	tissue29_stomach	54.38806091	31.368908968513537
P28838	tissue29_testis	27.0	tissue29_testis	160.519193	39.94170162400277
P28838	tissue29_thyroid	22.0	tissue29_thyroid	70.87519768	26.2553071650849
P28838	tissue29_tonsil	47.0	tissue29_tonsil	131.1550934	66.10379863946314
P28838	tissue29_urinary.bladder	35.0	tissue29_urinary.bladder	98.7339257	49.69040619283656
Q9Y5W9	tissue29_adipose.tissue	7.0	tissue29_adipose.tissue	0.522258096	0.9776791000446543
Q9Y5W9	tissue29_adrenal.gland	6.0	tissue29_adrenal.gland	0.648959206	0.45112384941675
Q9Y5W9	tissue29_appendix	10.0	tissue29_appendix	0.274779763	0.563479907726679
Q9Y5W9	tissue29_bone.marrow	8.0	tissue29_bone.marrow	2.770057241	0.6411225037586006
Q9Y5W9	tissue29_colon	7.0	tissue29_colon	0.081641994	0.5462266440196841
